,,values
0,1979-01-11,0.17093602994587492
0,1979-01-21,-0.07930931144390313
0,1979-01-31,-0.08805668241303524
0,1979-02-10,-0.3336714669187113
0,1979-02-20,-0.3387325208399085
0,1979-03-02,-0.27747096633157664
0,1979-03-12,-0.17010657197448564
0,1979-03-22,-0.23562128681946004
0,1979-04-01,-0.07055322346876525
0,1979-04-11,-0.20227736754033232
0,1979-04-21,-0.2531590747884866
0,1979-05-01,-0.06310116780552598
0,1979-05-11,0.020986251245505176
0,1979-05-21,0.10629583379298985
0,1979-05-31,0.3575325101405623
0,1979-06-10,0.35364679128202253
0,1979-06-20,-0.033702489384843125
0,1979-06-30,-0.040311492882738206
0,1979-07-10,0.2712134744029171
0,1979-07-20,0.4917799852504249
0,1979-07-30,0.34393470219754196
0,1979-08-09,0.5802639163701225
0,1979-08-19,0.877918903482525
0,1979-08-29,0.7937239499342216
0,1979-09-08,0.6700539664836324
0,1979-09-18,0.6403662077651695
0,1979-09-28,0.47309473082083997
0,1979-10-08,0.6348927364036585
0,1979-10-18,0.6751128995199389
0,1979-10-28,0.2729614473937707
0,1979-11-07,0.1666726175751184
0,1979-11-17,0.2842934992610949
0,1979-11-27,0.21755140848868748
0,1979-12-07,0.20221527156777827
0,1979-12-17,0.45659508912949365
0,1979-12-27,0.1996237039037165
0,1980-01-11,0.22742452513956427
0,1980-01-21,0.2550072460495542
0,1980-01-31,0.34168826960229376
0,1980-02-10,0.4053046435613265
0,1980-02-20,0.20285742099408957
0,1980-03-02,0.23579473651588584
0,1980-03-12,0.1894274139347582
0,1980-03-22,0.11823980575422442
0,1980-04-01,0.05107829015638804
0,1980-04-11,0.26549773026988305
0,1980-04-21,0.008445004567797764
0,1980-05-01,-0.1621153942929659
0,1980-05-11,-0.18824915234014852
0,1980-05-21,-0.11624947493637067
0,1980-05-31,-0.3567266262895937
0,1980-06-10,-0.3487304727312219
0,1980-06-20,-0.23750647527794477
0,1980-06-30,-0.16254389689989662
0,1980-07-10,-0.23218666221464446
0,1980-07-20,-0.04782806654972377
0,1980-07-30,0.06156926121523149
0,1980-08-09,0.07039796977099651
0,1980-08-19,-0.00763756688132225
0,1980-08-29,-0.22266349834645482
0,1980-09-08,-0.2859569302137306
0,1980-09-18,-0.13183049276785924
0,1980-09-28,-0.3340161313260931
0,1980-10-08,-0.14127494478701733
0,1980-10-18,-0.3319473794030232
0,1980-10-28,-0.21549812999950904
0,1980-11-07,-0.20923633789912002
0,1980-11-17,-0.2560311396018293
0,1980-11-27,-0.18724788452199295
0,1980-12-07,-0.05552732754770576
0,1980-12-17,0.2572221023609753
0,1980-12-27,0.2742310387931437
0,1981-01-11,0.5956348075229415
0,1981-01-21,0.42771419890287704
0,1981-01-31,0.33404310519320124
0,1981-02-10,0.42135803118788345
0,1981-02-20,0.4350588135381326
0,1981-03-02,0.24345747547148508
