,,values
0,1979-01-11,-0.008187970424501062
0,1979-01-21,0.5047460738678847
0,1979-01-31,0.32612716443057166
0,1979-02-10,0.41829859140237646
0,1979-02-20,1.275768225802801
0,1979-03-02,1.1971169455759396
0,1979-03-12,0.417160022445134
0,1979-03-22,0.6865970210949065
0,1979-04-01,0.3646363859288909
0,1979-04-11,0.41148978383332296
0,1979-04-21,0.4640272092612195
0,1979-05-01,0.3426237533146621
0,1979-05-11,-0.019905124110401393
0,1979-05-21,-0.6297755907857348
0,1979-05-31,-0.9764626120525947
0,1979-06-10,-0.7906458942338993
0,1979-06-20,-0.23562906761418193
0,1979-06-30,-0.39117816656245535
0,1979-07-10,-0.1706560293564675
0,1979-07-20,-0.6483419105969035
0,1979-07-30,-0.14767318483579392
0,1979-08-09,-0.15824441742965922
0,1979-08-19,-0.2040772913699534
0,1979-08-29,-0.14621137261220388
0,1979-09-08,0.01679728085394132
0,1979-09-18,-0.09530260248428235
0,1979-09-28,-0.4396646880910233
0,1979-10-08,-0.6880435844110172
0,1979-10-18,-0.41520370104428256
0,1979-10-28,-0.09203385792097168
0,1979-11-07,0.3705178697662019
0,1979-11-17,0.5372041278456567
0,1979-11-27,-0.6382138532638059
0,1979-12-07,-0.05811034820650666
0,1979-12-17,-0.4888010480475891
0,1979-12-27,-0.13252480465467414
0,1980-01-11,0.2548611458130553
0,1980-01-21,0.38476216976577554
0,1980-01-31,-0.5869669111752647
0,1980-02-10,-0.18900902562358834
0,1980-02-20,-0.5588597982782804
0,1980-03-02,-0.7530022205594146
0,1980-03-12,0.15478782463903942
0,1980-03-22,0.2560280431922565
0,1980-04-01,-0.05064425850034682
0,1980-04-11,-0.4446041918166117
0,1980-04-21,-0.23053901936542856
0,1980-05-01,-0.3936318200863176
0,1980-05-11,-0.49738485721683945
0,1980-05-21,-0.3490436800381327
0,1980-05-31,0.09343046991835809
0,1980-06-10,0.516026498243707
0,1980-06-20,1.1043147259919461
0,1980-06-30,0.756837182433944
0,1980-07-10,0.765935495951242
0,1980-07-20,0.7797795247561861
0,1980-07-30,0.6127871438828499
0,1980-08-09,0.4576982811974732
0,1980-08-19,0.3051408820494755
0,1980-08-29,0.2908235856238413
0,1980-09-08,0.8052400952031413
0,1980-09-18,0.32230250319026094
0,1980-09-28,0.38312862494695876
0,1980-10-08,-0.36176868401019
0,1980-10-18,0.03862189790886684
0,1980-10-28,-0.18975665323057225
0,1980-11-07,-0.7659861449881915
0,1980-11-17,-0.28363326486564877
0,1980-11-27,-0.2761282263473241
0,1980-12-07,-0.8129357194308533
0,1980-12-17,-0.7851108889268721
0,1980-12-27,-0.7191732398811228
0,1981-01-11,-1.224559040310183
0,1981-01-21,-1.2789902083821345
0,1981-01-31,-0.74205894239229
0,1981-02-10,-1.0960738005647868
0,1981-02-20,-0.3742665604251873
0,1981-03-02,-0.326337589316815
0,1981-03-12,-0.48605027531791806
0,1981-03-22,-0.733923486941169
0,1981-04-01,-0.5917169386938304
0,1981-04-11,-0.09111750382267239
0,1981-04-21,0.1295470192909873
0,1981-05-01,-0.2684512288887358
0,1981-05-11,-0.2734516371965927
0,1981-05-21,-0.04701227551165597
0,1981-05-31,-0.41767885661330556
0,1981-06-10,-0.03381545613817233
0,1981-06-20,-0.7052445616009704
0,1981-06-30,-0.4069773675586001
0,1981-07-10,0.5527201966174405
0,1981-07-20,-0.11284107630630187
0,1981-07-30,0.1739734884317533
0,1981-08-09,-0.4847323097249021
0,1981-08-19,-1.197529437236576
0,1981-08-29,-0.7808185110377848
0,1981-09-08,-0.34284381252747237
0,1981-09-18,-0.3967444956773631
0,1981-09-28,0.6146179929667157
0,1981-10-08,1.0355888582469999
0,1981-10-18,0.7936246399515926
0,1981-10-28,0.5706728262591666
0,1981-11-07,0.19486697218696772
0,1981-11-17,-0.07625307880843382
0,1981-11-27,0.2946896020745949
0,1981-12-07,0.7118777196493064
0,1981-12-17,0.44834952082565427
0,1981-12-27,0.2055215415677858
0,1982-01-11,0.15941174030453698
0,1982-01-21,0.2359050424489146
0,1982-01-31,0.4474317214339843
0,1982-02-10,0.3226776512023912
0,1982-02-20,0.009576810144802793
0,1982-03-02,-0.05822261734979417
0,1982-03-12,0.32220622923330156
0,1982-03-22,0.12228405639271535
0,1982-04-01,0.29120517287640774
0,1982-04-11,0.6094320388341217
0,1982-04-21,0.33855858501499486
0,1982-05-01,0.5764241861619248
0,1982-05-11,0.49112226518823016
0,1982-05-21,0.9222182243079017
0,1982-05-31,-0.02576209917582552
0,1982-06-10,-0.6262968331522755
0,1982-06-20,-1.5201001943274124
0,1982-06-30,-1.6011304527726777
0,1982-07-10,-1.0112591800482762
0,1982-07-20,-0.2185317656066407
0,1982-07-30,-0.08395840491439294
0,1982-08-09,-0.06725041315967782
0,1982-08-19,-0.057326475254880584
0,1982-08-29,-0.012189426673574425
0,1982-09-08,-0.5464325864594922
0,1982-09-18,-1.1651146874717824
0,1982-09-28,-1.075396657187192
0,1982-10-08,0.020886402009273036
0,1982-10-18,-0.39859081349523473
0,1982-10-28,-0.3326808304364671
0,1982-11-07,-0.15167320043260976
0,1982-11-17,0.05170632795740304
0,1982-11-27,0.32063990054871044
0,1982-12-07,0.1262854844709352
0,1982-12-17,0.023785229485276924
0,1982-12-27,0.07703500574492748
0,1983-01-11,0.22773147287630155
0,1983-01-21,-0.17396058503733725
0,1983-01-31,-0.277774991725891
0,1983-02-10,-0.42356087992727115
0,1983-02-20,-0.7188863634181509
0,1983-03-02,-0.7145893285074385
0,1983-03-12,-1.0679012849203644
0,1983-03-22,-1.2740207407252049
0,1983-04-01,-1.2446316188379716
0,1983-04-11,-1.405489885362091
0,1983-04-21,-1.1065190859181797
0,1983-05-01,-0.45375648286036213
0,1983-05-11,-0.32024489529403327
0,1983-05-21,-1.02234924995467
0,1983-05-31,-1.237952668455714
0,1983-06-10,-0.9403963414613574
0,1983-06-20,-0.16822088094833346
0,1983-06-30,0.27791091103198107
0,1983-07-10,0.3794813222885354
0,1983-07-20,-0.344245556806933
0,1983-07-30,-0.10339015697222151
0,1983-08-09,-0.03825445154202406
0,1983-08-19,-0.428438249177487
0,1983-08-29,-0.35734786988038714
0,1983-09-08,-0.10683026356636918
0,1983-09-18,0.4809386148783638
0,1983-09-28,0.7230422831777839
0,1983-10-08,0.8076876814697266
0,1983-10-18,1.2502259133818618
0,1983-10-28,1.5917086487145038
0,1983-11-07,1.3417104456652473
0,1983-11-17,1.1208613447245825
0,1983-11-27,0.5686858979659647
0,1983-12-07,0.4258200276713893
0,1983-12-17,0.24819576204196997
0,1983-12-27,-0.2970795780329806
0,1984-01-11,-0.08383811990762043
0,1984-01-21,-0.005347216415415549
0,1984-01-31,0.04520396547175205
0,1984-02-10,0.3792925055123797
0,1984-02-20,0.5352365108835232
0,1984-03-02,0.34847958393003103
0,1984-03-12,-0.1482647243096146
0,1984-03-22,-0.09685378500002999
0,1984-04-01,0.06918826902306746
0,1984-04-11,0.46598731239254754
0,1984-04-21,0.06912740189932756
0,1984-05-01,0.06360386271501688
0,1984-05-11,-0.07295021488022158
0,1984-05-21,0.7478351531028862
0,1984-05-31,0.07827112932817862
0,1984-06-10,0.48158931309996084
0,1984-06-20,0.052456440530094545
0,1984-06-30,1.029000092923817
0,1984-07-10,0.1235158584617449
0,1984-07-20,-0.2054047539505323
0,1984-07-30,0.05754892144438128
0,1984-08-09,-0.045543755275697276
0,1984-08-19,0.3731959042477419
0,1984-08-29,0.280087968390886
0,1984-09-08,0.5372371838791862
0,1984-09-18,0.8020433960205764
0,1984-09-28,0.6087181887058016
0,1984-10-08,0.4263867139563894
0,1984-10-18,-0.37827974108035917
0,1984-10-28,-0.7508397062832484
0,1984-11-07,0.1483855293048895
0,1984-11-17,0.5231433636418137
0,1984-11-27,0.6832565833112043
0,1984-12-07,0.6233951362707696
0,1984-12-17,0.4476027174554414
0,1984-12-27,0.35806852218305735
0,1985-01-11,-0.03874401137415698
0,1985-01-21,-0.3891754647868771
0,1985-01-31,-0.22502229303068286
0,1985-02-10,-0.1610248982883794
0,1985-02-20,-0.1426401229689016
0,1985-03-02,0.511300560187227
0,1985-03-12,0.5675294553252839
0,1985-03-22,0.7755752455063177
0,1985-04-01,0.6658251468820152
0,1985-04-11,0.2655336010313406
0,1985-04-21,0.7276609505562917
0,1985-05-01,0.6456281706024033
0,1985-05-11,0.7797893664045105
0,1985-05-21,0.024021967730753945
0,1985-05-31,0.8890027097582329
0,1985-06-10,0.40485986705761184
0,1985-06-20,0.24916526008208542
0,1985-06-30,0.24973992171894105
0,1985-07-10,-0.5360582750512212
0,1985-07-20,-0.5308181998302393
0,1985-07-30,0.23909443277369383
0,1985-08-09,0.43533167212820006
0,1985-08-19,0.28567382898329496
0,1985-08-29,-0.2702233347350613
0,1985-09-08,0.09766880519381595
0,1985-09-18,0.5282870812975016
0,1985-09-28,0.6920541916307112
0,1985-10-08,0.6209101296912976
0,1985-10-18,0.6036800832552727
0,1985-10-28,0.921347916793762
0,1985-11-07,1.2792469665868222
0,1985-11-17,0.6063652057130543
0,1985-11-27,0.006124036481495527
0,1985-12-07,-0.3919830810567703
0,1985-12-17,-0.49181744816105094
0,1985-12-27,-0.3035817347361736
0,1986-01-11,-0.03244131841412176
0,1986-01-21,0.16685048201842703
0,1986-01-31,-0.05914514822066232
0,1986-02-10,-0.14809485078742834
0,1986-02-20,-0.415943698408132
0,1986-03-02,-0.5618682341177706
0,1986-03-12,-1.1019816622271164
0,1986-03-22,-0.8831559629436827
0,1986-04-01,-0.42986610152362353
0,1986-04-11,-0.4023493593110407
0,1986-04-21,-0.2860283181695036
0,1986-05-01,0.3345265237414187
0,1986-05-11,0.0013834857815582656
0,1986-05-21,-0.6612574176861639
0,1986-05-31,0.09548035533621553
0,1986-06-10,-0.2761301338266998
0,1986-06-20,0.05857522628200559
0,1986-06-30,0.6982890995992895
0,1986-07-10,0.7714663737955563
0,1986-07-20,0.3398838056013085
0,1986-07-30,-0.6918493721862943
0,1986-08-09,0.24872154344628342
0,1986-08-19,0.0136376097770376
0,1986-08-29,-0.6462825517124993
0,1986-09-08,-0.5537644281381502
0,1986-09-18,-0.4275890793377382
0,1986-09-28,-0.21865250995532395
0,1986-10-08,-0.4655373482373307
0,1986-10-18,-0.5585407316575516
0,1986-10-28,-0.35917125743624334
0,1986-11-07,-1.000705594341053
0,1986-11-17,-0.4951338948427134
0,1986-11-27,-0.5429472755985116
0,1986-12-07,-0.5728310310100646
0,1986-12-17,-0.7261712477090067
0,1986-12-27,-0.6352958651010754
0,1987-01-11,-0.33798255509978936
0,1987-01-21,-0.3395426178100906
0,1987-01-31,-0.4463558199636823
0,1987-02-10,-0.5829273607219619
0,1987-02-20,-0.342501771493766
0,1987-03-02,-0.7135559391770563
0,1987-03-12,-0.4646083459735852
0,1987-03-22,-0.37427624342777505
0,1987-04-01,-1.03013052664146
0,1987-04-11,-0.9874992125445211
0,1987-04-21,-0.7553450856062449
0,1987-05-01,-1.2163004333348326
0,1987-05-11,-1.0988050690393834
0,1987-05-21,-1.1916845452953198
0,1987-05-31,-0.6158202257894798
0,1987-06-10,-1.0593669853515373
0,1987-06-20,-1.074890640446729
0,1987-06-30,-1.057259887571423
0,1987-07-10,-0.6855501616931
0,1987-07-20,-0.7879949426302302
0,1987-07-30,-0.6789923273694253
0,1987-08-09,-0.7774761469380467
0,1987-08-19,-0.2509872713577085
0,1987-08-29,-0.22947974609377877
0,1987-09-08,-0.47394891212736556
0,1987-09-18,-0.6095626569021289
0,1987-09-28,-1.0928018117988803
0,1987-10-08,-1.4373196896689644
0,1987-10-18,-1.6928944313425212
0,1987-10-28,-0.8064346073489773
0,1987-11-07,-0.5800327613962757
0,1987-11-17,-0.3781930971706139
0,1987-11-27,-0.09577423099941067
0,1987-12-07,0.020305832364141563
0,1987-12-17,-0.17579500863830388
0,1987-12-27,0.1834338407185347
0,1988-01-11,0.232518417649076
0,1988-01-21,0.21158513184514946
0,1988-01-31,0.05903050748137356
0,1988-02-10,0.07276076526325082
0,1988-02-20,0.19743729783189465
0,1988-03-02,0.02406131353406895
0,1988-03-12,-0.001626527602762688
0,1988-03-22,0.14579574974522183
0,1988-04-01,1.1033573991135688
0,1988-04-11,0.6456487325525008
0,1988-04-21,0.040332514669107
0,1988-05-01,0.04754926134958335
0,1988-05-11,0.006095866861419625
0,1988-05-21,0.4757039940254971
0,1988-05-31,1.125379500021926
0,1988-06-10,1.2504269140787039
0,1988-06-20,1.5285843866442186
0,1988-06-30,1.1791931048844284
0,1988-07-10,1.2390504973943988
0,1988-07-20,0.8301599790317622
0,1988-07-30,0.5257830522621282
0,1988-08-09,0.36962418147887804
0,1988-08-19,0.7032751960315046
0,1988-08-29,0.9712605273258145
0,1988-09-08,0.4274233997127327
0,1988-09-18,-0.04423150838411584
0,1988-09-28,0.42854205703595116
0,1988-10-08,0.06812728427695229
0,1988-10-18,-0.12448236537198261
0,1988-10-28,0.1519057842025978
0,1988-11-07,0.036910266246036945
0,1988-11-17,0.6807429379496722
0,1988-11-27,1.3988387886021607
0,1988-12-07,0.5426895080056879
0,1988-12-17,-0.15029828009418628
0,1988-12-27,0.6445308052810632
0,1989-01-11,1.223597076611947
0,1989-01-21,1.350692639337301
0,1989-01-31,1.0269563709696883
0,1989-02-10,0.8603893471071893
0,1989-02-20,1.1027039208279688
0,1989-03-02,0.7200167490914418
0,1989-03-12,0.6139472381550606
0,1989-03-22,0.7187266129846333
0,1989-04-01,0.7484138320256851
0,1989-04-11,0.16901815816374247
0,1989-04-21,0.31396065784368477
0,1989-05-01,0.6141268000524004
0,1989-05-11,0.512728093945141
0,1989-05-21,0.9063848969698697
0,1989-05-31,0.5787729672407854
0,1989-06-10,0.42251322347929915
0,1989-06-20,-0.007953095437619392
0,1989-06-30,-0.2904092796952968
0,1989-07-10,0.05488548837079767
0,1989-07-20,-0.35386688567710695
0,1989-07-30,-0.3067373025894735
0,1989-08-09,0.09542428896015302
0,1989-08-19,-0.09411547984343571
0,1989-08-29,-0.04792010816559583
0,1989-09-08,-0.17113768999958925
0,1989-09-18,-0.05883782214798387
0,1989-09-28,0.06445120061213246
0,1989-10-08,-0.44258311400769107
0,1989-10-18,-0.6248570295075286
0,1989-10-28,-0.030851075934396628
0,1989-11-07,0.045082268395126836
0,1989-11-17,-0.42989106013107165
0,1989-11-27,-0.45478029051475444
0,1989-12-07,-0.3101881568905956
0,1989-12-17,0.07548925660606129
0,1989-12-27,-0.10556345995588316
0,1990-01-11,0.3383450428312453
0,1990-01-21,0.37456011169258685
0,1990-01-31,0.5738959184797823
0,1990-02-10,0.4716407494379725
0,1990-02-20,0.3347795315283398
0,1990-03-02,0.0767010168562705
0,1990-03-12,0.6871462457533996
0,1990-03-22,0.12527741673757098
0,1990-04-01,0.18496741552937382
0,1990-04-11,-0.08787799673339285
0,1990-04-21,-0.001686326029987753
0,1990-05-01,-0.721011091823604
0,1990-05-11,-0.4462958803662706
0,1990-05-21,0.4273666544886795
0,1990-05-31,0.6863001775818707
0,1990-06-10,0.21702723628478912
0,1990-06-20,0.731303223799453
0,1990-06-30,0.7538691309805102
0,1990-07-10,0.4095623874496372
0,1990-07-20,0.4009132377299547
0,1990-07-30,0.9557186859864688
0,1990-08-09,0.7654818787281027
0,1990-08-19,0.6840389466517197
0,1990-08-29,0.1822122373842081
0,1990-09-08,0.286724727370191
0,1990-09-18,0.5883025722311925
0,1990-09-28,0.45163679042380744
0,1990-10-08,0.773080813788609
0,1990-10-18,1.3378446862178441
0,1990-10-28,1.651506585948063
0,1990-11-07,1.087504385534779
0,1990-11-17,0.06661607603040563
0,1990-11-27,0.1427382609472954
0,1990-12-07,0.2557735951650029
0,1990-12-17,0.7778855159168785
0,1990-12-27,0.8811728596556331
0,1991-01-11,0.8353714081020152
0,1991-01-21,0.7922806448329864
0,1991-01-31,0.5602667197863155
0,1991-02-10,0.5124711464638675
0,1991-02-20,0.3169897413632642
0,1991-03-02,-0.24000127023347828
0,1991-03-12,0.36443826346191055
0,1991-03-22,1.0414903754126006
0,1991-04-01,0.6114238148878952
0,1991-04-11,1.021720215822614
0,1991-04-21,0.8195889665111277
0,1991-05-01,0.4459606419004434
0,1991-05-11,0.5621312559911814
0,1991-05-21,0.6216734064722585
0,1991-05-31,1.1497863432092867
0,1991-06-10,1.6803671457603075
0,1991-06-20,1.8281275415998381
0,1991-06-30,1.3325922941016735
0,1991-07-10,1.4565966071032814
0,1991-07-20,1.4642074975887267
0,1991-07-30,1.1867803545622484
0,1991-08-09,1.2066226543471565
0,1991-08-19,0.67920061887819
0,1991-08-29,0.7614328607651156
0,1991-09-08,0.6748688564603772
0,1991-09-18,0.6096187603135729
0,1991-09-28,0.31512038001852705
0,1991-10-08,0.17007901534729794
0,1991-10-18,-1.0980350434999435
0,1991-10-28,-0.7171541973179608
0,1991-11-07,-1.0763542326970328
0,1991-11-17,-0.9270302141144753
0,1991-11-27,-1.1294925823082402
0,1991-12-07,-0.936456418743253
0,1991-12-17,-0.7204568335088035
0,1991-12-27,-0.5742362905610415
0,1992-01-11,-0.6853245326413752
0,1992-01-21,-0.6603115465788197
0,1992-01-31,-0.7990020935549315
0,1992-02-10,-0.6142433338173005
