,,value
0,1979-01-01,0.008834599428561851
0,1979-01-02,0.011085052344114036
0,1979-01-03,0.008253710851410061
0,1979-01-04,0.0018834800323875077
0,1979-01-05,-0.0022977166575966555
0,1979-01-06,-0.0042319260978043545
0,1979-01-07,-0.0005108783580106358
0,1979-01-08,0.003967879289267078
0,1979-01-09,-0.0002265517600814692
0,1979-01-10,-0.004731479785493134
0,1979-01-11,-0.008148589422661496
0,1979-01-12,-0.010748182970792695
0,1979-01-13,-0.007269429243264614
0,1979-01-14,0.00021118179029943896
0,1979-01-15,0.0009429030837173252
0,1979-01-16,-0.002556118018878605
0,1979-01-17,-0.0021247777124557892
0,1979-01-18,0.0019414249994018512
0,1979-01-19,0.010535767717667122
0,1979-01-20,0.018256442255491154
0,1979-01-21,0.025660599964616487
0,1979-01-22,0.021180595626135813
0,1979-01-23,0.015671010800256433
0,1979-01-24,0.020469094382690803
0,1979-01-25,0.022580373524335208
0,1979-01-26,0.01778372017979316
0,1979-01-27,0.015565771791968977
0,1979-01-28,0.013847060209839213
0,1979-01-29,0.010612040812901069
0,1979-01-30,0.007166519124206255
0,1979-01-31,0.004767312743835547
0,1979-02-01,0.0027622668521950855
0,1979-02-02,0.0001824669750253487
0,1979-02-03,-0.00041680962534595425
0,1979-02-04,0.0004213216083725387
0,1979-02-05,-0.0009632359181109654
0,1979-02-06,-0.00204796154059165
0,1979-02-07,0.0022399570215105454
0,1979-02-08,0.001821410339719355
0,1979-02-09,0.00023271172148969067
0,1979-02-10,-0.0021121689838351854
0,1979-02-11,-0.003812496438835606
0,1979-02-12,-0.000199998692138342
0,1979-02-13,0.0027376975363617335
0,1979-02-14,0.0017331609062136316
0,1979-02-15,0.006029479619662043
0,1979-02-16,0.009152278045396001
0,1979-02-17,0.0060884628803737325
0,1979-02-18,0.006522100292342774
0,1979-02-19,0.006735593460401565
0,1979-02-20,0.005014209962755574
0,1979-02-21,0.014449523218395512
0,1979-02-22,0.026444258023735078
0,1979-02-23,0.034139804922603115
0,1979-02-24,0.037876887771391435
0,1979-02-25,0.03628230256048486
0,1979-02-26,0.029089868026040293
0,1979-02-27,0.020286104073440468
0,1979-02-28,0.016910953813359577
0,1979-03-01,0.019876091595189507
0,1979-03-02,0.020809793031127618
0,1979-03-03,0.028869471828017024
0,1979-03-04,0.03684193944134783
0,1979-03-05,0.03446829383460923
0,1979-03-06,0.028141731649027644
0,1979-03-07,0.022037984812468544
0,1979-03-08,0.015853014183120472
0,1979-03-09,0.013430527887947777
0,1979-03-10,0.013867242739449833
0,1979-03-11,0.01764204758168293
0,1979-03-12,0.013424185276752765
0,1979-03-13,0.006196516470950497
0,1979-03-14,0.0033891853279559296
0,1979-03-15,0.0018929956550012756
0,1979-03-16,-0.0024042080094938503
0,1979-03-17,-0.005759307809794629
0,1979-03-18,-0.002057502968336384
0,1979-03-19,0.0057032057446964055
0,1979-03-20,0.007354126032320625
0,1979-03-21,0.006681483926068187
0,1979-03-22,0.010945497381329806
0,1979-03-23,0.021102457273938516
0,1979-03-24,0.0337546964487461
0,1979-03-25,0.03733020449407277
0,1979-03-26,0.030187223642643417
0,1979-03-27,0.025281320944511358
0,1979-03-28,0.022134477230086422
0,1979-03-29,0.01964060962936578
0,1979-03-30,0.02256051514304804
0,1979-03-31,0.02478778979433704
0,1979-04-01,0.028070306707908305
0,1979-04-02,0.03412449029625272
0,1979-04-03,0.03498900543687971
0,1979-04-04,0.037629375579785226
0,1979-04-05,0.04041244732372788
0,1979-04-06,0.03250934071170608
0,1979-04-07,0.02463518758233457
0,1979-04-08,0.018825330757409765
0,1979-04-09,0.027255754031815963
0,1979-04-10,0.027578037313372442
0,1979-04-11,0.03051600046412372
0,1979-04-12,0.03697358727056796
0,1979-04-13,0.0360992480089587
0,1979-04-14,0.03941931359072099
0,1979-04-15,0.030009894010395593
0,1979-04-16,0.019458440791999616
0,1979-04-17,0.010738551918700179
0,1979-04-18,0.0038189927793824533
0,1979-04-19,-0.0005474291016682862
0,1979-04-20,-0.005871377319886638
0,1979-04-21,-0.0070104088153299035
0,1979-04-22,-0.010181405521122979
0,1979-04-23,-0.008297746605914633
0,1979-04-24,-0.004992964267622899
0,1979-04-25,-0.0049010953262522035
0,1979-04-26,0.0020076767327305146
0,1979-04-27,0.011389885785548282
0,1979-04-28,0.012247070795589069
0,1979-04-29,0.008645895906614274
0,1979-04-30,0.0033589434434640963
0,1979-05-01,-0.0018768699996796192
0,1979-05-02,-0.0010556489447082775
0,1979-05-03,0.01482657212474334
0,1979-05-04,0.033726336983936726
0,1979-05-05,0.03739230204628758
0,1979-05-06,0.028395224596679456
0,1979-05-07,0.018280406249204382
0,1979-05-08,0.008609168637357917
0,1979-05-09,0.0008173578197938464
0,1979-05-10,-0.0011990457966518972
0,1979-05-11,0.002203558909124557
0,1979-05-12,0.005614099382918057
0,1979-05-13,0.013446012262486312
0,1979-05-14,0.016398454340791496
0,1979-05-15,0.011134403834580024
0,1979-05-16,0.003371332862216637
0,1979-05-17,-0.0066717499367189
0,1979-05-18,-0.01678549013792875
0,1979-05-19,-0.02048265585768274
0,1979-05-20,-0.019879804875671175
0,1979-05-21,-0.006359195539640148
0,1979-05-22,0.0035252419737103052
0,1979-05-23,0.0061981701880500385
0,1979-05-24,0.01849758290815364
0,1979-05-25,0.025509369696424592
0,1979-05-26,0.025259347551953238
0,1979-05-27,0.020743490771478572
0,1979-05-28,0.020868263046947076
0,1979-05-29,0.017983674807005134
0,1979-05-30,0.01774165790316634
0,1979-05-31,0.021639901157420406
0,1979-06-01,0.026511714990533806
0,1979-06-02,0.02693741590474316
0,1979-06-03,0.029829744950428415
0,1979-06-04,0.029341173518017977
0,1979-06-05,0.01976681364595563
0,1979-06-06,0.016995120461066805
0,1979-06-07,0.014360735610233379
0,1979-06-08,0.016785919096123873
0,1979-06-09,0.029572256387650223
0,1979-06-10,0.03734998679986332
0,1979-06-11,0.03449540163213418
0,1979-06-12,0.028433156422183414
0,1979-06-13,0.016309863966687155
0,1979-06-14,0.00447653817106441
0,1979-06-15,-0.00668709940193736
0,1979-06-16,-0.01193604809155802
0,1979-06-17,-0.011234252887519136
0,1979-06-18,-0.014793612468944098
0,1979-06-19,-0.019375293264429896
0,1979-06-20,-0.023448090944664293
0,1979-06-21,-0.027940478722973932
0,1979-06-22,-0.02698374956434637
0,1979-06-23,-0.022817091623843072
0,1979-06-24,-0.014064427090404081
0,1979-06-25,-0.006276430909088755
0,1979-06-26,-0.008192295952379894
0,1979-06-27,-0.014152931317984707
0,1979-06-28,-0.018575555735994682
0,1979-06-29,-0.02198608494981171
0,1979-06-30,-0.021143570069473074
0,1979-07-01,-0.014427108917622935
0,1979-07-02,-0.011680637647775815
0,1979-07-03,-0.014514635960808436
0,1979-07-04,-0.017169570812433314
0,1979-07-05,-0.01103038520153461
0,1979-07-06,-0.008178821069801974
0,1979-07-07,-0.006154208670394856
0,1979-07-08,-0.003309732637545088
0,1979-07-09,-0.0007558452298485457
0,1979-07-10,0.004006381527884449
0,1979-07-11,0.0035968966618191915
0,1979-07-12,0.002928291395147517
0,1979-07-13,0.0036393747963838342
0,1979-07-14,0.0007843359829827612
0,1979-07-15,-0.0028048410000052607
0,1979-07-16,-0.003855625159246608
0,1979-07-17,-0.002465235603029727
0,1979-07-18,4.931225471765276e-07
0,1979-07-19,0.0033480379871806023
0,1979-07-20,0.005495459522670606
0,1979-07-21,0.009774810474303088
0,1979-07-22,0.010897638920999592
0,1979-07-23,0.008635800753884652
0,1979-07-24,0.009262618520958258
0,1979-07-25,0.013792022044662426
0,1979-07-26,0.02561428218842382
0,1979-07-27,0.03500836136010615
0,1979-07-28,0.03881593065969856
0,1979-07-29,0.03678018393180134
0,1979-07-30,0.03212671784552704
0,1979-07-31,0.027767913207763992
0,1979-08-01,0.03108137687474125
0,1979-08-02,0.03117274138016722
0,1979-08-03,0.028507552144320963
0,1979-08-04,0.022299044829000327
0,1979-08-05,0.01424380491256187
0,1979-08-06,0.007209737358375087
0,1979-08-07,0.001095896877255678
0,1979-08-08,-0.004660347875367669
0,1979-08-09,-0.009477479164271432
0,1979-08-10,-0.012975433339655462
0,1979-08-11,-0.006991892523830736
0,1979-08-12,0.010130905626136619
0,1979-08-13,0.013068303771447382
0,1979-08-14,0.0062967598195923635
0,1979-08-15,0.0059181535306468145
0,1979-08-16,0.006048236162872469
0,1979-08-17,0.0012512658677769828
0,1979-08-18,-0.002025169137147238
0,1979-08-19,0.0010014301457200365
0,1979-08-20,0.0015359421743101355
0,1979-08-21,0.004852891182741753
0,1979-08-22,0.0070568232689367134
0,1979-08-23,0.007530441583132912
0,1979-08-24,0.011167393514557613
0,1979-08-25,0.012821603138924968
0,1979-08-26,0.01905309272250824
0,1979-08-27,0.026856656753796976
0,1979-08-28,0.029812728385832585
0,1979-08-29,0.030985317842054633
0,1979-08-30,0.030755189883122043
0,1979-08-31,0.02515670343936094
0,1979-09-01,0.02003004945579071
0,1979-09-02,0.019329590394951673
0,1979-09-03,0.020371789617443396
0,1979-09-04,0.018041952709348812
0,1979-09-05,0.021723738759764848
0,1979-09-06,0.02349374192444956
0,1979-09-07,0.019881595341934337
0,1979-09-08,0.014169274908219238
0,1979-09-09,0.009049528803346146
0,1979-09-10,0.00304618103557053
0,1979-09-11,-0.0019508323394112586
0,1979-09-12,-0.006600014721722361
0,1979-09-13,-0.009876589259210753
0,1979-09-14,0.0068682220400646974
0,1979-09-15,0.01408587305363688
0,1979-09-16,0.006458555455253592
0,1979-09-17,-0.0003715015345292397
0,1979-09-18,-0.00369041464860903
0,1979-09-19,-0.006034391778677207
0,1979-09-20,-0.007368342341415096
0,1979-09-21,0.009842043879158453
0,1979-09-22,0.027598037054504764
0,1979-09-23,0.023656467057167646
0,1979-09-24,0.014498672507811578
0,1979-09-25,0.007773167011690195
0,1979-09-26,0.001469840231649498
0,1979-09-27,-0.0034506414738868386
0,1979-09-28,-0.001520008389081242
0,1979-09-29,0.0009903448340801005
0,1979-09-30,-0.0014888892767898195
0,1979-10-01,-0.005281857031633476
0,1979-10-02,-0.007950953201814773
