,,value
0,1979-01-01,0.4529459112614302
0,1979-01-02,0.40665536181587747
0,1979-01-03,0.29236403392715876
0,1979-01-04,0.11486231742455312
0,1979-01-05,-0.03238013300628725
0,1979-01-06,-0.14493740421592877
0,1979-01-07,-0.22039676712127027
0,1979-01-08,-0.2540660902412015
0,1979-01-09,-0.24209043847481818
0,1979-01-10,-0.18584380574914655
0,1979-01-11,-0.08777303412193305
0,1979-01-12,0.049349621325305904
0,1979-01-13,0.22167731341908747
0,1979-01-14,0.36065538406121733
0,1979-01-15,0.42154544418778334
0,1979-01-16,0.4405693932225688
0,1979-01-17,0.4537868509654191
0,1979-01-18,0.49657340820691165
0,1979-01-19,0.5532155351330781
0,1979-01-20,0.5831683385626995
0,1979-01-21,0.5869229568869361
0,1979-01-22,0.5643845755047117
0,1979-01-23,0.5145414635385571
0,1979-01-24,0.45443904370826627
0,1979-01-25,0.3998591125776221
0,1979-01-26,0.35014174243933255
0,1979-01-27,0.3058098733367167
0,1979-01-28,0.265842742792206
0,1979-01-29,0.24960919300647233
0,1979-01-30,0.26757702250965787
0,1979-01-31,0.30511649602475593
0,1979-02-01,0.3484634115088421
0,1979-02-02,0.38246801175528483
0,1979-02-03,0.3955908086816239
0,1979-02-04,0.3906524054497169
0,1979-02-05,0.37798359563384487
0,1979-02-06,0.36977717828005635
0,1979-02-07,0.3774437469021176
0,1979-02-08,0.3633092119310812
0,1979-02-09,0.3135896351888466
0,1979-02-10,0.2772768156331395
0,1979-02-11,0.3044769235972591
0,1979-02-12,0.4441384614617815
0,1979-02-13,0.617072548456524
0,1979-02-14,0.7379177940462585
0,1979-02-15,0.8465358151476241
0,1979-02-16,0.9824087133603177
0,1979-02-17,1.1863176590691953
0,1979-02-18,1.3721027915644557
0,1979-02-19,1.4510684192583687
0,1979-02-20,1.4579718791127212
0,1979-02-21,1.4289637904086774
0,1979-02-22,1.3992347321090826
0,1979-02-23,1.355955917144254
0,1979-02-24,1.2771225260330377
0,1979-02-25,1.187504346629834
0,1979-02-26,1.112074368936512
0,1979-02-27,1.0750296462373303
0,1979-02-28,1.1295101159104732
0,1979-03-01,1.2608620489675855
0,1979-03-02,1.391479591792605
0,1979-03-03,1.4440253744153342
0,1979-03-04,1.3408715470750434
0,1979-03-05,1.1269654184639657
0,1979-03-06,0.9028468022052711
0,1979-03-07,0.6777025838259756
0,1979-03-08,0.45650571934868617
0,1979-03-09,0.24888908942064394
0,1979-03-10,0.14034846518979616
0,1979-03-11,0.17269004610881292
0,1979-03-12,0.28898947033996264
0,1979-03-13,0.4337618091368487
0,1979-03-14,0.5527691621834555
0,1979-03-15,0.6022668401333477
0,1979-03-16,0.5976769185351695
0,1979-03-17,0.5723245462171734
0,1979-03-18,0.5588002906725864
0,1979-03-19,0.58965940633407
0,1979-03-20,0.6673810781289652
0,1979-03-21,0.7539620513941795
0,1979-03-22,0.823110245043327
0,1979-03-23,0.847182323098804
0,1979-03-24,0.7998246193718254
0,1979-03-25,0.6915776855565526
0,1979-03-26,0.5621481029625903
0,1979-03-27,0.42821440674203615
0,1979-03-28,0.30577238759073716
0,1979-03-29,0.21146233055531888
0,1979-03-30,0.18055893050290353
0,1979-03-31,0.22041956663213585
0,1979-04-01,0.3032652443589125
0,1979-04-02,0.40237631061319284
0,1979-04-03,0.4887615540286281
0,1979-04-04,0.5419208128507125
0,1979-04-05,0.5636124118111252
0,1979-04-06,0.5597011195815575
0,1979-04-07,0.534164642964332
0,1979-04-08,0.48966641211301093
0,1979-04-09,0.4303956210881266
0,1979-04-10,0.365996007807737
0,1979-04-11,0.31203417624264523
0,1979-04-12,0.2846562959901721
0,1979-04-13,0.29868462730575657
0,1979-04-14,0.3673015458355633
0,1979-04-15,0.47229732514661155
0,1979-04-16,0.5798218209942891
0,1979-04-17,0.6582900318885058
0,1979-04-18,0.6750142888726134
0,1979-04-19,0.6186901557476734
0,1979-04-20,0.5189683030709787
0,1979-04-21,0.40379624772404277
0,1979-04-22,0.3024836240174418
0,1979-04-23,0.24306668402685716
0,1979-04-24,0.2693615279186476
0,1979-04-25,0.3707793791260089
0,1979-04-26,0.49424706176309224
0,1979-04-27,0.587090743795839
0,1979-04-28,0.5971863237627997
0,1979-04-29,0.5142554701326464
0,1979-04-30,0.38587507643615176
0,1979-05-01,0.24566272084952812
0,1979-05-02,0.1280584088161873
0,1979-05-03,0.06784787916693462
0,1979-05-04,0.12510926543287545
0,1979-05-05,0.2809046756135349
0,1979-05-06,0.4519868620519944
0,1979-05-07,0.5553689510417164
0,1979-05-08,0.5089352923622545
0,1979-05-09,0.32569410244699953
0,1979-05-10,0.09394452660063549
0,1979-05-11,-0.15235258172541263
0,1979-05-12,-0.3821409922616294
0,1979-05-13,-0.5628582652925683
0,1979-05-14,-0.5890208769658334
0,1979-05-15,-0.44860832697068737
0,1979-05-16,-0.2506562592030835
0,1979-05-17,-0.10505234666630146
0,1979-05-18,-0.12035430200172949
0,1979-05-19,-0.28093801118710493
0,1979-05-20,-0.48260519041221545
0,1979-05-21,-0.7026344224451256
0,1979-05-22,-0.9194740934222212
0,1979-05-23,-1.1116360195544954
0,1979-05-24,-1.191896503769167
0,1979-05-25,-1.1325087673180996
0,1979-05-26,-1.0034558212329276
0,1979-05-27,-0.873389966822919
0,1979-05-28,-0.8130475807224233
0,1979-05-29,-0.8330678065068989
0,1979-05-30,-0.8857217620058508
0,1979-05-31,-0.9560750184856217
0,1979-06-01,-1.0298001327417998
0,1979-06-02,-1.0897722052493481
0,1979-06-03,-1.1303808345179507
0,1979-06-04,-1.1499147455232457
0,1979-06-05,-1.1391330388188898
0,1979-06-06,-1.089022854585931
0,1979-06-07,-0.9899250772767376
0,1979-06-08,-0.9053391041907936
0,1979-06-09,-0.8710928483745068
0,1979-06-10,-0.8410971303581389
0,1979-06-11,-0.766842502574157
0,1979-06-12,-0.5995872982454498
0,1979-06-13,-0.41164790174228355
0,1979-06-14,-0.2927713379447175
0,1979-06-15,-0.21945932092192785
0,1979-06-16,-0.1679206772975166
0,1979-06-17,-0.11184956122447094
0,1979-06-18,-0.10832021410500556
0,1979-06-19,-0.18896727175194056
0,1979-06-20,-0.29951117352521833
0,1979-06-21,-0.38612262862934094
0,1979-06-22,-0.3930733774674694
0,1979-06-23,-0.3058876830217153
0,1979-06-24,-0.1751787341735149
0,1979-06-25,-0.04802236214838739
0,1979-06-26,0.028659728706388766
0,1979-06-27,0.007765087353673545
0,1979-06-28,-0.13263960827254573
0,1979-06-29,-0.34058343066691904
0,1979-06-30,-0.558873419249545
0,1979-07-01,-0.7314657172777886
0,1979-07-02,-0.8028374916675319
0,1979-07-03,-0.7440007730641601
0,1979-07-04,-0.5897836364082907
0,1979-07-05,-0.3849470076154864
0,1979-07-06,-0.17583748579174652
0,1979-07-07,-0.009447511022647225
0,1979-07-08,0.08456599997098191
0,1979-07-09,0.10892701428899101
0,1979-07-10,0.061048866686226694
0,1979-07-11,-0.06027493554850816
0,1979-07-12,-0.2582686974152133
0,1979-07-13,-0.46230606065582447
0,1979-07-14,-0.6100204222466946
0,1979-07-15,-0.7165894483823357
0,1979-07-16,-0.7961291465705538
0,1979-07-17,-0.8629495639846827
0,1979-07-18,-0.893513129520529
0,1979-07-19,-0.8581759356517246
0,1979-07-20,-0.7660870285476505
0,1979-07-21,-0.6259030692158579
0,1979-07-22,-0.4486421002791821
0,1979-07-23,-0.29908948138339747
0,1979-07-24,-0.21634012476646844
0,1979-07-25,-0.17175399805905958
0,1979-07-26,-0.13698574635978988
0,1979-07-27,-0.08145472423458477
0,1979-07-28,-0.027019305308046176
0,1979-07-29,-0.011937477094677065
0,1979-07-30,-0.03457311226262908
0,1979-07-31,-0.09198571922814609
0,1979-08-01,-0.18280280504919028
0,1979-08-02,-0.3049199856140135
0,1979-08-03,-0.43329903774242634
0,1979-08-04,-0.5344437002050534
0,1979-08-05,-0.5764048971381565
0,1979-08-06,-0.5279645319363839
0,1979-08-07,-0.39363282935945
0,1979-08-08,-0.218896967616621
0,1979-08-09,-0.03711661844997531
0,1979-08-10,0.11985868305158442
0,1979-08-11,0.21847109583787527
0,1979-08-12,0.22336570555002816
0,1979-08-13,0.14431985668886535
0,1979-08-14,0.014211148149534053
0,1979-08-15,-0.13413162077965446
0,1979-08-16,-0.2673728237912997
0,1979-08-17,-0.34281052701434034
0,1979-08-18,-0.35194761756003157
0,1979-08-19,-0.3163869989684813
0,1979-08-20,-0.25578832800562135
0,1979-08-21,-0.1900133909067835
0,1979-08-22,-0.12756318104435035
0,1979-08-23,-0.06896953344065362
0,1979-08-24,-0.023242405160766484
0,1979-08-25,0.0003131413118051774
0,1979-08-26,-0.004408580185620529
0,1979-08-27,-0.047742314409925324
0,1979-08-28,-0.12042369681173125
0,1979-08-29,-0.20039727209747946
0,1979-08-30,-0.26398400092083896
0,1979-08-31,-0.2867445805689923
0,1979-09-01,-0.27317649296255186
0,1979-09-02,-0.24230753451581774
0,1979-09-03,-0.19128440890665885
0,1979-09-04,-0.11894147067166369
0,1979-09-05,-0.024375826948289703
