,,values
0,1979-01-11,-7.834036560670846
0,1979-01-21,-1.560856655613461
0,1979-01-31,-6.039139798279598
0,1979-02-10,-8.09563299388261
0,1979-02-20,-4.562972077752962
0,1979-03-02,-0.2463846776212426
0,1979-03-12,-1.4096789355064372
0,1979-03-22,1.2325959892784373
0,1979-04-01,-0.4345617140352916
0,1979-04-11,-1.8509893235443164
0,1979-04-21,2.1212555962488446
0,1979-05-01,-4.097260381780245
0,1979-05-11,0.9507788994216056
0,1979-05-21,-1.4892922730739937
0,1979-05-31,-0.9321699281223083
0,1979-06-10,0.22984134911602833
0,1979-06-20,-0.19787814913287666
0,1979-06-30,-1.2659814146703912
0,1979-07-10,-1.6497911600897273
0,1979-07-20,-1.1509903843746727
0,1979-07-30,-0.796543730127276
0,1979-08-09,-0.07096030784795766
0,1979-08-19,-2.386377635910917
0,1979-08-29,0.06305775431527487
0,1979-09-08,0.5395062220576831
0,1979-09-18,-1.3503508565821634
0,1979-09-28,3.6419716341632897
0,1979-10-08,-1.3033805005138928
0,1979-10-18,2.87285468855059
0,1979-10-28,0.005880372524537522
0,1979-11-07,-3.026486909179133
0,1979-11-17,1.9172439348477472
0,1979-11-27,-1.1470965301710634
0,1979-12-07,2.0291758072937762
0,1979-12-17,1.3111296922949578
0,1979-12-27,5.314447434075439
0,1980-01-11,2.703484874613072
0,1980-01-21,4.690078781631995
0,1980-01-31,-6.060801186117149
0,1980-02-10,-3.635627863007442
0,1980-02-20,-0.3863672606190086
0,1980-03-02,-6.9766339768629235
0,1980-03-12,-0.7293443583432335
0,1980-03-22,-0.7156911706140286
0,1980-04-01,-0.5069899728129184
0,1980-04-11,-1.606254475030155
0,1980-04-21,1.9445298073748016
0,1980-05-01,0.08157182309498534
0,1980-05-11,-1.839113310954211
0,1980-05-21,0.38403393893190196
0,1980-05-31,2.7321733792697342
0,1980-06-10,0.13379320408265802
0,1980-06-20,-1.2392770725440867
0,1980-06-30,2.186971015110744
0,1980-07-10,3.783155974236063
0,1980-07-20,2.5403137078270888
0,1980-07-30,1.5113196272273652
0,1980-08-09,2.8214635242540886
0,1980-08-19,0.9637410714113133
0,1980-08-29,2.428518698644966
0,1980-09-08,3.004978483699892
0,1980-09-18,2.864489465186894
0,1980-09-28,0.08492947746748108
0,1980-10-08,-0.05206618561850971
0,1980-10-18,0.655304485880275
0,1980-10-28,-3.979173448503752
0,1980-11-07,3.1828746964844896
0,1980-11-17,-2.3789895502126397
0,1980-11-27,-1.1660329822139555
0,1980-12-07,1.246020909957564
0,1980-12-17,-1.0247973802490056
0,1980-12-27,-0.590133892454142
0,1981-01-11,-3.3425426148845476
0,1981-01-21,3.241601597639306
0,1981-01-31,-0.5609570117945639
0,1981-02-10,-3.443178286591297
0,1981-02-20,8.68354187666098
0,1981-03-02,2.2167422627792663
0,1981-03-12,0.5146070467824767
0,1981-03-22,-1.0289460854188524
0,1981-04-01,6.331712562024321
0,1981-04-11,4.3796848962371175
0,1981-04-21,0.7470170728456329
0,1981-05-01,2.3481469188190207
0,1981-05-11,-3.6793199083558314
0,1981-05-21,-1.3238272143624699
0,1981-05-31,0.5506086709543947
0,1981-06-10,2.2656329448281505
0,1981-06-20,0.45020312466000306
0,1981-06-30,-0.6091740896728706
0,1981-07-10,2.0943172461012023
0,1981-07-20,0.1864508544789572
0,1981-07-30,-1.8136946922484605
0,1981-08-09,-0.6248107821259289
0,1981-08-19,-2.1134146762204695
0,1981-08-29,-0.5044429026103815
0,1981-09-08,-0.41353811057915363
0,1981-09-18,-1.4925190041291052
0,1981-09-28,1.1213905050670836
0,1981-10-08,-1.2212138940267745
0,1981-10-18,-0.815152942668084
0,1981-10-28,-1.2675384141366162
0,1981-11-07,1.7416570724846907
0,1981-11-17,2.001551312517548
0,1981-11-27,-0.13238899533706133
0,1981-12-07,0.24986168640230835
0,1981-12-17,-3.830616231998686
0,1981-12-27,0.6915575768368946
0,1982-01-11,-8.239341448055615
0,1982-01-21,-4.410343411279401
0,1982-01-31,-1.2587191945271796
0,1982-02-10,-6.34029462590745
0,1982-02-20,4.534970261355884
0,1982-03-02,-3.785276345890572
0,1982-03-12,1.2887193798831436
0,1982-03-22,1.8239870717736728
0,1982-04-01,-1.3640323879167462
0,1982-04-11,-4.092270077829975
0,1982-04-21,-1.1040355877649262
0,1982-05-01,0.04924713058617321
0,1982-05-11,2.300135499344997
0,1982-05-21,1.4474247502347037
0,1982-05-31,-0.437899120139322
0,1982-06-10,-1.5389657550121107
0,1982-06-20,-3.301368485309008
0,1982-06-30,-1.673786071208535
0,1982-07-10,-0.4867546365145806
0,1982-07-20,0.9797168071970905
0,1982-07-30,-0.39034034993197103
0,1982-08-09,-1.5960717041333912
0,1982-08-19,-0.46219505897056123
0,1982-08-29,-1.5436315276117203
0,1982-09-08,0.0620137249362994
0,1982-09-18,-1.8494986995964822
0,1982-09-28,1.1064079348381854
0,1982-10-08,2.604603363661249
0,1982-10-18,-1.8748344019530099
0,1982-10-28,2.272314530487681
0,1982-11-07,0.29763881027041206
0,1982-11-17,-0.2460056788577784
0,1982-11-27,0.6965777161793396
0,1982-12-07,3.3495287047561533
0,1982-12-17,1.21332397846877
0,1982-12-27,5.536982162567552
0,1983-01-11,4.446241278640717
0,1983-01-21,-1.294051577784109
0,1983-01-31,1.370645693438411
0,1983-02-10,-0.4376868270117651
0,1983-02-20,5.743407562523094
0,1983-03-02,5.777604942130159
0,1983-03-12,1.7541249051138632
0,1983-03-22,-5.9030208009317375
0,1983-04-01,-3.6225932793844855
0,1983-04-11,-3.2382670735214036
0,1983-04-21,-6.082665428302798
0,1983-05-01,-0.3482933702745171
0,1983-05-11,-1.6574110698030875
0,1983-05-21,-3.318242456222537
0,1983-05-31,-3.140908968627989
0,1983-06-10,-0.6921201089795895
0,1983-06-20,1.0672843164962451
0,1983-06-30,0.6450357565135415
0,1983-07-10,0.22238090310212938
0,1983-07-20,3.5404118379058693
0,1983-07-30,2.2380556126050304
0,1983-08-09,1.9685922406825518
0,1983-08-19,4.178478658459886
0,1983-08-29,4.25797249521893
0,1983-09-08,4.1297588470541955
0,1983-09-18,-1.3079301955130556
0,1983-09-28,2.5394686732442477
0,1983-10-08,1.6976770598050108
0,1983-10-18,-0.4750379351171438
0,1983-10-28,0.9572295973733811
0,1983-11-07,0.9824050024108149
0,1983-11-17,0.08649246414726966
0,1983-11-27,-1.5333514678544973
0,1983-12-07,-1.7627594719177473
0,1983-12-17,-6.4432448628491015
0,1983-12-27,-13.201194601211345
0,1984-01-11,-2.3047957478596834
0,1984-01-21,-6.223135226999348
0,1984-01-31,3.402838740806099
0,1984-02-10,4.002204446220854
0,1984-02-20,5.5400379586083925
0,1984-03-02,-3.6822346394871035
0,1984-03-12,-5.003792435162165
0,1984-03-22,-2.4302372411466835
0,1984-04-01,-2.9336560374039147
0,1984-04-11,-1.0563921992343215
0,1984-04-21,-3.252990148631612
0,1984-05-01,-1.2878747415533647
0,1984-05-11,-1.5878986767961385
0,1984-05-21,0.7664711289685461
0,1984-05-31,-2.4613046011010566
0,1984-06-10,3.06636199228389
0,1984-06-20,1.1896075752071091
0,1984-06-30,-1.0776844775794288
0,1984-07-10,-0.3215464252125083
0,1984-07-20,-0.7116637961401524
0,1984-07-30,-2.12773593013016
0,1984-08-09,0.8347529066420633
0,1984-08-19,0.20801596559849217
0,1984-08-29,1.4948613792031973
0,1984-09-08,-0.9107123912310243
0,1984-09-18,0.3714580184716506
0,1984-09-28,-3.4497876823098563
0,1984-10-08,1.9794499809433397
0,1984-10-18,1.997810562276777
0,1984-10-28,2.8877451177810936
0,1984-11-07,-0.2565193946394249
0,1984-11-17,-2.944173871736714
0,1984-11-27,1.6502729830150007
0,1984-12-07,-0.8896566253362514
